ID,WORD,LANG,POS,CS
1,@username,OTHER,PROPN,0
1,Zaten,TR,ADV,0
1,hose,DE,NOUN,1
1,und,DE,CONJ,0
1,schuhe,DE,NOUN,0
1,hab,DE,VERB,0
1,ich,DE,PRON,0
1,bi,TR,DET,1
1,oberteil,DE,NOUN,1
1,eksik,TR,ADJ,1
1,.,OTHER,PUNCT,0
1,onuda,TR,PRON,0
1,ablamdan,TR,NOUN,0
1,yuruturum,TR,VERB,0
1,napim,TR,VERB,0
1,:D,OTHER,X,0
2,Man,DE,PRON,0
2,sagt,DE,VERB,0
2,ja,DE,ADV,0
2,von,DE,ADP,0
2,wegen,DE,ADP,0
2,.,OTHER,PUNCT,0
3,Man,DE,PRON,0
3,lernt,DE,VERB,0
3,nie,DE,ADV,0
3,aus,DE,ADP,0
3,!,OTHER,PUNCT,0
4,ne,TR,PRON,0
4,.,OTHER,PUNCT,0
5,Man,DE,PRON,0
5,lernt,DE,VERB,0
5,nie,DE,ADV,0
5,aus,DE,ADP,0
5,yani,TR,CCONJ,1
5,.,OTHER,PUNCT,0
6,Ona,TR,PRON,0
6,bakarsan,TR,VERB,0
6,---,OTHER,PUNCT,0
7,Ich,DE,PRON,0
7,wollt,DE,AUX,0
7,auch,DE,ADV,0
7,mal,DE,ADV,0
7,Pilot,DE,NOUN,0
7,werden,DE,VERB,0
7,!,OTHER,PUNCT,0
8,Das,DE,PRON,0
8,wollt,DE,AUX,0
8,ich,DE,PRON,0
8,auch,DE,ADV,0
8,!,OTHER,PUNCT,0
9,Hadi,TR,INTJ,0
9,ya,TR,CCONJ,0
9,?,OTHER,PUNCT,0
10,Als,DE,ADV,0
10,ich,DE,PRON,0
10,hierher,DE,ADV,0
10,flog,DE,VERB,0
10,.,OTHER,PUNCT,0
10,da,DE,ADV,0
10,war,DE,AUX,0
10,ich,DE,PRON,0
10,im,DE,ADP,0
10,Dings,DE,NOUN,0
10,.,OTHER,PUNCT,0
10,beim,DE,ADP,0
10,Pilot,DE,NOUN,0
10,im,DE,ADP,0
10,Cockpit,DE,NOUN,0
10,drin,DE,ADV,0
10,---,OTHER,PUNCT,0
11,Ich,DE,PRON,0
11,auch,DE,ADV,0
11,.,OTHER,PUNCT,0
12,Ist,DE,AUX,0
12,toll,DE,ADJ,0
12,ne,DE,PRON,0
12,?,OTHER,PUNCT,0
13,Das,DE,PRON,0
13,ist,DE,AUX,0
13,super,DE,ADJ,0
13,!,OTHER,PUNCT,0
14,Aber,DE,ADV,0
14,ich,DE,PRON,0
14,hab,DE,VERB,0
14,richtig,DE,ADJ,0
14,Dings,DE,NOUN,0
14,gekriegt,DE,VERB,0
14,.,OTHER,PUNCT,0
14,weißt,DE,VERB,0
14,du,DE,PRON,0
14,?,OTHER,PUNCT,0
15,Ein,DE,DET,0
15,falscher,DE,ADJ,0
15,Knopf,DE,NOUN,0
15,.,OTHER,PUNCT,0
16,Und,DE,CCONJ,0
16,du,DE,PRON,0
16,bist,DE,AUX,0
16,weg,DE,ADV,0
16,.,OTHER,PUNCT,0
17,Her,TR,DET,0
17,taraf,TR,NOUN,0
17,düğme,TR,NOUN,0
17,.,OTHER,PUNCT,0
17,Hebel,DE,NOUN,0
17,.,OTHER,PUNCT,0
18,Und,DE,CCONJ,0
18,überall,DE,ADV,0
18,Lichter,DE,NOUN,0
18,und,DE,CCONJ,0
18,he,TR,INTJ,1
18,!,OTHER,PUNCT,0
19,Ich,DE,PRON,0
19,hatte,DE,VERB,0
19,sogar,DE,ADV,0
19,noch,DE,ADV,0
19,überm,DE,ADJ,0
19,Kopf,DE,NOUN,0
19,ne,TR,PRON,1
19,.,OTHER,PUNCT,0
20,Und,DE,CCONJ,0
20,das,DE,PRON,0
20,war,DE,AUX,0
